id,trial,top_idx,within_idx,between_idx,within_is_left_or_right,trial_type,question_type,question_idx,choice,rt,stim_onset,IG,IG2,targRace,targGend,winRace,winGend,btwnRace,btwnGend,winRaceMatch,btwnRaceMatch,winGendMatch,btwnGendMatch,comparison,question
data_10,19,8,6,9,1,1,2,12,2,7.2723,137308.5321,0,1,Asian,M,White,F,White,F,0,0,0,0,One-step,Neg Action
data_10,20,14,3,10,2,2,1,9,2,4.5858,137316.3358,1,1,Hispanic,M,Black,M,White,M,0,0,1,1,Two-step,Pos Action
data_10,21,4,8,1,2,2,3,3,2,4.0051,137321.4549,1,1,Black,F,Asian,M,White,M,0,0,0,0,Two-step,Friendship
data_10,22,14,15,13,1,1,4,4,2,8.0197,137325.9904,0,0,Hispanic,M,Asian,F,Black,M,0,0,0,1,One-step,Similarity
data_10,23,9,13,8,1,3,2,14,2,7.3514,137334.5445,0,1,White,F,Black,M,Asian,M,0,0,0,0,One-versus-two-step,Neg Action
data_10,24,9,13,8,1,3,1,9,1,3.6952,137342.4315,1,1,White,F,Black,M,Asian,M,0,0,0,0,One-versus-two-step,Pos Action
data_10,25,3,14,4,2,3,1,5,2,9.2177,137346.6502,1,1,Black,M,Hispanic,M,Black,F,0,1,1,0,One-versus-two-step,Pos Action
data_10,26,4,8,3,2,3,2,10,1,7.3779,137356.3882,0,1,Black,F,Asian,M,Black,M,0,1,0,0,One-versus-two-step,Neg Action
data_10,27,13,9,14,2,3,4,4,1,3.4962,137364.2918,0,0,Black,M,White,F,Hispanic,M,0,0,0,1,One-versus-two-step,Similarity
data_10,28,13,9,1,1,2,4,4,2,3.0655,137368.3105,0,0,Black,M,White,F,White,M,0,0,0,1,Two-step,Similarity
data_10,29,13,9,2,2,2,1,6,1,11.3266,137371.9121,0,0,Black,M,White,F,White,F,0,0,0,0,Two-step,Pos Action
data_10,30,3,1,4,2,1,1,8,2,5.1595,137383.7678,1,1,Black,M,White,M,Black,F,0,1,1,0,One-step,Pos Action
data_10,31,13,12,14,1,1,4,4,2,4.6272,137389.4538,0,0,Black,M,White,F,Hispanic,M,0,0,0,1,One-step,Similarity
